化學物名稱,中文名稱,風險等級,PubChem CID,CAS No.,危害組別,危害名稱,危害等級,資料來源,可信度,危害分類是否清楚,適用地區,適用產業,是否具強制性？,清單連結,註解,額外註解,預測值
Diisononyl phthalate (DINP),,1,590836,28553-12-0,急毒性危害,皮膚致敏 - 重複劑量,"",translation missing: zh-TW.list_name.QSAR Toolbox: Read-Across,相對低,包含多種危害終點，危害等級分類模糊。,NA,所有,N,,"","",Human Health Hazards / Sensitisation / EC3 <OR> Skin sensitisation: 
Diisononyl phthalate (DINP),,1,590836,28553-12-0,急毒性危害,皮膚致敏 - 重複劑量,"",translation missing: zh-TW.list_name.QSAR Toolbox: Read-Across,相對低,包含多種危害終點，危害等級分類模糊。,NA,所有,N,,"","",Human Health Hazards / Sensitisation / Skin sensitisation: 
Diisononyl phthalate (DINP),,1,590836,28553-12-0,急毒性危害,皮膚致敏 - 重複劑量,"",translation missing: zh-TW.list_name.QSAR Toolbox: Read-Across,相對低,包含多種危害終點，危害等級分類模糊。,NA,所有,N,,"","",Human Health Hazards / Sensitisation / S M W N <OR> Skin sensitisation: R: Negative
Diisononyl phthalate (DINP),,1,590836,28553-12-0,急毒性危害,呼吸致敏 - 重複劑量,低,QSAR Toolbox: QSAR,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.QSAR Toolbox: QSAR,低毒性,
Diisononyl phthalate (DINP),,1,590836,28553-12-0,急毒性危害,皮膚刺激,高,紐西蘭GHS,相對低,危害等級分類清楚。,紐西蘭,所有,Y,"The Chemical Classification and Information Database (CCID) provided by the New Zealand Hazardous Substances and New Organisms (HSNO) can be used to search for hazards of individual chemicals (first link). New Zealand uses their own classification terminology which need to be converted to GHS classification categories to be used in the List Translator. A document describing the translation from HSNO to GHS classification is available at the second link.
http://www.epa.govt.nz/search-databases/Pages/HSNO-CCID.aspx
http://www.epa.govt.nz/Publications/hsnogen-ghs-nz-hazard.pdf",腐蝕/刺激皮膚危害第2級：H315,"",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,急毒性危害,眼睛刺激,低,QSAR Toolbox: QSAR,相對低,危害等級分類清楚。,,,,,translation missing: zh-TW.hazard_annotation.GHS_Japan,低毒性,
Diisononyl phthalate (DINP),,1,590836,28553-12-0,環境危害,急性水生毒性,非常高,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,環境危害,急性水生毒性,非常高,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,環境危害,急性水生毒性,中,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,環境危害,急性水生毒性,非常高,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,環境危害,急性水生毒性,高,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,環境危害,急性水生毒性,高,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,環境危害,急性水生毒性,非常高,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,環境危害,急性水生毒性,非常高,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,環境危害,急性水生毒性,非常高,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
Diisononyl phthalate (DINP),,1,590836,28553-12-0,環境危害,急性水生毒性,高,美國環保署CompTox資料庫,相對高,包含多種危害終點，危害等級分類模糊。,,,,https://www.epa.gov/chemical-research/comptox-chemicals-dashboard,"","",
